ID,이름,설명
0,스코티시 폴드
,샴
,페르시안
,터키시 앙고라
,러시안 블루
,벵갈
,먼치킨
,아비시니안
,노르웨이숲
,랙독
,스핑크스
,코리안 숏헤어
1,말티즈,순해 보이는 외모 그리고 작은 크기와는 반대로 까칠한 반전 매력을 가진 대표적인 소형 강아지
,푸들,에너지가 넘치는 똥꼬발랄한 성격이 특징이고 보호자에 대한 애정이 넘쳐난다.
,포메라니안,푹신푹신한 풍성한 털이 매력적인 견종.
,믹스견,기종의 견종에 속하지 않는 강아지로써 2가지 이상의 견종이 합쳐진 강아지
,치와와,짜증을 잘 내는 성격으로 유명한 견종이다.
,시츄,잘 짖지 않으며 아주 게으르고 고집이 무척 센 견종이다.
,골든리트리버,인절미라는 귀여운 별명을 가진 골든 리트리버! 천사견이라고 불릴 정도로 순한 성격이 특징
,진돗개,한국 국견으로 지정되어 있는 진돗개입니다. 충직한 성격 그리고 정말 영리하다고 유명한 견종
